ts	phase	decision	why	evidence	result
2026-08-20T15:14:06Z	metric	froze contrast = P90(L)/P10(L) on non-backdrop pixels, target roombox.png contrast 1.901	the plate's look is bright open surfaces and dark contact, and this number moves when either side moves	app/ao-study-tuin/plate-signature.json	plate open_L=0.8899 shadow_L=0.4681 contrast=1.901 sat=0.2035
2026-08-20T15:14:06Z	stop	stop when contrast_err <= 0.15 after at least 8 iterations, and open_L stays within 10% of the as-it-ships baseline	a lucky first win cannot end the run, and a muddy lawn is a revert	models/tuin-measure.py	predicate armed
2026-08-20T15:14:06Z	harness	wrote tuin-scene.py, tuin-ao.py, tuin-measure.py as the rerunnable lever	the kitchen already paid for this shape of study and a hand-tuned overlay would not be checkable	models/tuin-measure.py	plate signature recorded, baseline still not yet rendered
2026-08-20T15:24:59Z	baseline	froze the ruler after exposure 0.15, backdrop composite, and ground-only contrast	kitchen exposure 0.5 blew the open garden to white and made P10 include the void	app/ao-study-tuin/01-as-it-ships.png	ships plate_err=0.104 ground=1.517 sat=0.131 vs plate ground=1.534 sat=0.204
2026-08-20T15:24:59Z	ceiling	per-pixel AO at 0.55 made sat worse and did not beat ships on plate_err	more occlusion is not what this plate is missing in Blender	app/ao-study-tuin/02-real-ao.png	ao plate_err=0.108 sat=0.122
2026-08-20T15:24:59Z	iter1	garden contact discs now use sqrt opacity, same as kitchen and party	ContactShadows applies alpha twice so 0.22 arrived as 0.048 and the discs were invisible in the app	app/NinaBakeryPOC/Sources/Garden/GardenRoom.swift	kept, app-only, not visible in the Blender still
2026-08-20T15:24:59Z	iter2	baked TuinLawnAO.png at 0.40 and wired GardenAO.lawnOverlay	the mint is one quad and cannot hold contact under the bed, bench, fence and tree	app/ao-study-tuin/03-lawn-map.png	Blender plate_err 0.104 to 0.106, kept for RealityKit visibility the still already has via key shadows
2026-08-20T15:31:00Z	iter3	garden-only ambient 800/1200 via GardenRoom.lighting; shared LightingSettings unchanged	the 1200 lx dome washed pastels; 800 was the best of 1200/800/500/300 on the frozen ruler	app/ao-study-tuin/04-ambient-800.png	KEEP plate_err 0.106 to 0.098 sat 0.128 to 0.140 ground 1.491 to 1.515; 500 and 300 failed open_L
2026-08-20T15:36:00Z	sim	scored iPad Pro 13 M5 still of De Tuin after H3 (ambient 800, lawn map, sqrt discs)	device is the thing that ships; Blender already said sat is the remaining hill	app/ao-study-tuin/11-simulator-h3.png	ground contrast/open/shadow PASS; sat 0.137 vs 0.204 FAIL; plate_err=0.113 pass=false
2026-08-20T15:43:00Z	iter4	garden-only 1.8x chroma punch on props; lawn fence and foliage stay pale	device sat was the remaining fail after H3; more AO made sat worse; the plate's pastels are punchier than the locked thirteen	app/ao-study-tuin/05-punch-1.8.png	KEEP blender plate_err 0.098 to 0.033 pass=true; 1.4 also passed but 1.8 was closest to plate sat
2026-08-20T15:44:00Z	sim	scored iPad Pro 13 still after punch; first capture was the title plate and was thrown out	device is what ships	app/ao-study-tuin/11-simulator-punch.png	PASS contrast/open/shadow/sat; sat 0.137 to 0.186; plate_err 0.113 to 0.052
